date,capital gain for 100 euros of bitcoin after 3 years possession
2017-05-08,355.324391965
2017-05-07,337.199802932
2017-05-06,351.878661088
2017-05-05,361.171461849
2017-05-04,357.726926532
2017-05-03,322.635913302
2017-05-02,303.86903445
2017-05-01,283.591923726
2017-04-30,273.3842494
2017-04-29,272.307456275
2017-04-28,279.153698283
2017-04-27,266.71144597
2017-04-26,253.540930682
2017-04-25,248.756613985
2017-04-24,222.462470734
2017-04-23,224.783267613
2017-04-22,217.386761314
2017-04-21,220.414331452
2017-04-20,214.383162976
2017-04-19,210.287610619
2017-04-18,222.705510971
2017-04-17,208.573536332
2017-04-16,193.828302117
2017-04-15,209.696707845
2017-04-14,231.875673359
2017-04-13,276.089795918
2017-04-12,269.46314065
2017-04-11,271.366953138
2017-04-10,285.588477048
2017-04-09,240.991976659
2017-04-08,237.374314236
2017-04-07,238.135052035
2017-04-06,227.839561799
2017-04-05,218.564126417
2017-04-04,219.221551129
2017-04-03,231.239000121
2017-04-02,199.883419955
2017-04-01,179.988867242
2017-03-31,190.534489776
2017-03-30,193.423692308
2017-03-29,159.193688519
2017-03-28,155.131994597
2017-03-27,138.530247665
2017-03-26,114.848974189
2017-03-25,104.623168537
2017-03-24,122.439078644
2017-03-23,134.425768971
2017-03-22,129.827013754
2017-03-21,139.249269548
2017-03-20,124.990830647
2017-03-19,110.529504203
2017-03-18,100.750837472
2017-03-17,136.27254509
2017-03-16,144.910244354
2017-03-15,156.544107014
2017-03-14,152.34004329
2017-03-13,148.890812683
2017-03-12,145.601018287
2017-03-11,145.514245246
2017-03-10,155.839653875
2017-03-09,142.45016072
2017-03-08,148.621898717
2017-03-07,152.68945071
2017-03-06,151.827316678
2017-03-05,146.15838674
2017-03-04,133.957926221
2017-03-03,168.152924546
2017-03-02,186.476611701
2017-03-01,178.931719128
2017-02-28,165.471367705
2017-02-27,156.872034642
2017-02-26,158.074193627
2017-02-25,179.538461538
2017-02-24,169.124429152
2017-02-23,138.931067171
2017-02-22,150.787035641
2017-02-21,150.961538462
2017-02-20,129.696566593
2017-02-19,115.281396561
2017-02-18,118.571375649
2017-02-17,110.121473684
2017-02-16,112.759850396
2017-02-15,98.1027056734
2017-02-14,84.2357521823
2017-02-13,94.0098562628
2017-02-12,92.1736452204
2017-02-11,87.543166175
2017-02-10,82.7866533865
2017-02-09,76.7580243222
2017-02-08,87.1111678764
2017-02-07,82.3079872657
2017-02-06,62.9866365303
2017-02-05,59.5912702695
2017-02-04,58.3211650492
2017-02-03,57.5049876579
2017-02-02,53.7703643671
2017-02-01,50.693468504
2017-01-31,50.3428571429
2017-01-30,46.0835023665
2017-01-29,45.155143929
2017-01-28,45.8395905015
2017-01-27,46.3403716216
2017-01-26,41.515798758
2017-01-25,42.3979591837
2017-01-24,44.1011619184
2017-01-23,43.4636934613
2017-01-22,41.4207594464
2017-01-21,40.402721868
2017-01-20,39.3232397085
2017-01-19,38.6785860475
2017-01-18,37.7968318207
2017-01-17,42.0659322034
2017-01-16,28.4339481717
2017-01-15,23.0063907973
2017-01-14,28.3802541544
2017-01-13,29.7310366449
2017-01-12,20.5611503978
2017-01-11,16.427147108
2017-01-10,39.2959069632
2017-01-09,39.8120202086
2017-01-08,39.2059961857
2017-01-07,37.1724812102
